Variable,Value
# MetaSave,# Infos -tremisabdoul
SaveName,Save 1
PlayerName,Name
GameType,Rogue
# Player[0],# Statistics -tremisabdoul
Game.Player.Pv,100
Game.Player.MaxPv,100
Game.Player.Damage,10
Game.Player.Speed,2
Game.Player.SpeedY,0
Game.Player.Level,1
Game.Player.Gold,100
Game.Player.Armor,0
Game.Player.Mana,60
# Player[1],# Statistique Variable -steven
Game.Player.CDR,0
Game.Player.AttackSpeed,0
Game.Player.CCHit,130
Game.Player.CCSpell,3
Game.Player.CCDamage,3
Game.Player.Penetration,0
Game.Player.ManaRegen,2
Game.Player.XP_Multiplicator,1
Game.Player.Damage.Multiplicator,1
# Player[2],# Position -tremisabdoul
Game.Player.rect.x,350
Game.Player.rect.y,567
Game.Player.rect.height,120
Game.Player.rect.width,120
Game.Player.LastY,567
Game.Player.YVector,0
Game.PositionPlayer,32192
# Phisics,# Actual Movement of Player -tremisabdoul
Game.Player.Force.lastx,0.0004048071767804811
Game.Player.Base_Gravity,0
Game.Monster.Base_Gravity,0
Game.Player.Force.x,0
